X,Y,Z
21.44,34.72,80.53
46.66,75.57,9.07
31.84,51.57,-76.09
-16.1,-26.07,-90.22
-49.09,-79.51,-23.2
-36.39,-58.95,65.41
9.83,15.92,99.53
47.36,76.72,36.53
46.89,75.94,-63.05
-2.28,-3.7,-98.18
-47.81,-77.45,-52.91
-49.69,-80.48,48.46
-5.37,-8.71,104.78
42.18,68.32,63.36
53.78,87.11,-35.28
13.46,21.8,-105.2
-38.14,-61.78,-76.23
-54.31,-87.96,19.91
-20.54,-33.27,97.75
32.11,52.01,85.72
52.62,85.23,-4.88
27.06,43.83,-89.52
-25.43,-41.2,-93.48
-50.36,-81.57,-8.93
-30.83,-49.94,75.05
18.25,29.56,99.38
51.24,82.99,23.3
37.98,61.52,-69.48
-10.7,-17.33,-103.29
-51.44,-83.32,-38.67
-42.75,-69.25,58.58
2.85,4.62,102.13
47.6,77.1,51.6
49.0,79.36,-48.83
4.61,7.47,-98.89
-41.64,-67.45,-61.43
-49.15,-79.62,33.18
-12.37,-20.04,100.56
37.03,59.99,72.71
53.18,86.14,-20.43
19.51,31.61,-95.29
-31.58,-51.16,-82.74
-53.64,-86.88,5.88
-24.83,-40.23,83.87
23.9,38.72,85.98
54.06,87.57,8.67
31.44,50.93,-77.95
-18.53,-30.02,-98.13
-50.83,-82.33,-22.21
-39.54,-64.04,73.62
10.44,16.9,96.25
47.69,77.25,34.93
42.06,68.12,-58.71
-3.13,-5.07,-96.09
-46.46,-75.26,-49.34
-45.06,-72.99,45.88
-4.15,-6.72,98.96
41.92,67.91,60.72
47.52,76.97,-32.97
11.33,18.35,-95.88
-36.63,-59.34,-70.66
-51.54,-83.49,20.71
-19.81,-32.1,99.36
31.97,51.78,82.21
51.51,83.44,-6.52
25.21,40.83,-86.91
-25.3,-40.98,-89.09
-49.39,-79.99,-7.08
-31.71,-51.37,80.07
17.35,28.1,89.37
50.42,81.67,21.14
37.7,61.07,-71.46
-10.77,-17.45,-95.09
-51.3,-83.09,-36.58
-40.1,-64.95,57.02
3.43,5.56,92.05
43.92,71.15,45.68
45.77,74.13,-47.6
3.8,6.15,-102.02
-43.47,-70.4,-61.81
-49.33,-79.9,35.18
-10.33,-16.73,91.18
38.82,62.88,73.57
52.98,85.82,-22.22
17.71,28.69,-91.25
-30.76,-49.83,-77.67
-54.62,-88.48,7.84
-25.3,-40.98,89.09
25.46,41.24,87.79
51.51,83.44,6.52
32.28,52.28,-83.01
-19.26,-31.19,-96.55
-51.03,-82.66,-20.5
-35.89,-58.14,69.24
12.02,19.47,101.74
49.49,80.17,34.34
41.92,67.9,-60.72
-3.9,-6.32,-92.98
-46.91,-75.99,-47.77
-46.92,-76.0,49.83
-3.26,-5.28,100.09
42.9,69.5,59.89
49.17,79.64,-36.01
10.54,17.07,-97.23
-39.16,-63.43,-72.91
-53.9,-87.31,23.56
-18.35,-29.73,97.19
31.12,50.42,77.15
54.59,88.42,-8.76
25.13,40.7,-90.4
-24.58,-39.81,-83.0
-52.07,-84.34,-5.71
-33.12,-53.65,86.79
19.51,31.61,95.29
52.15,84.48,20.03
38.13,61.76,-74.87
-12.37,-20.04,-100.56
-47.67,-77.21,-32.17
-42.05,-68.12,62.04
4.52,7.32,96.9
48.07,77.86,47.9
44.86,72.67,-48.64
2.82,4.57,-101.14
-39.77,-64.42,-54.49
-48.51,-78.57,36.47
-10.19,-16.51,98.38
37.23,60.3,68.09
50.21,81.34,-22.84
17.04,27.59,-92.77
-31.81,-51.52,-77.41
-55.07,-89.19,9.77
-25.67,-41.59,94.37
24.96,40.43,82.58
52.09,84.38,4.83
30.28,49.05,-80.83
29.97,48.55,-80.02
-25.16,52.5,-81.65
-58.35,7.27,-82.46
-35.41,-42.5,-77.58
16.98,-53.87,-79.2
56.18,-15.28,-81.65
45.36,40.97,-85.72
-9.3,56.3,-80.02
-52.93,22.82,-80.83
-46.84,-31.56,-79.2
